REPOSITORY,TAU,P_VALUE
1-Platform.one-platform,0.8280027508735657,0
OpenCodeFoundation.eSchool,0.8178900480270386,0
ThoreauZZ.spring-cloud-example,0.8237807750701904,0
asc-lab.micronaut-microservices-poc,0.8449363708496094,0
bee-travels.bee-travels-node,0.49043306708335876,0
geoserver.geoserver-cloud,0.8978491425514221,0
go-saas.kit,0.9735198616981506,0
jvalue.ods,0.592563271522522,0
learningOrchestra.mlToolKits,0.7856663465499878,0
minos-framework.ecommerce-example,0.5894389152526855,0
nashtech-garage.yas,0.8381677269935608,0
netcorebcn.quiz,-0.5752543807029724,0
open-telemetry.opentelemetry-demo,0.23327569663524628,0
